user_id,order_id,order_date,product_name,order_value,discount_given
C0001,O50000,2025-12-15,Veg Biryani,1494,106
C0001,O50001,2025-03-13,Chicken Biryani,1244,102
C0001,O50002,2025-05-02,Pasta,666,214
C0001,O50003,2025-11-27,Burger,287,99
C0001,O50004,2025-12-26,Burger,330,149
C0001,O50005,2025-11-05,Pizza,969,293
C0001,O50006,2025-07-11,Veg Biryani,1155,276
C0001,O50007,2025-06-10,South Indian Thali,659,21
C0001,O50008,2025-09-10,Veg Biryani,947,48
C0001,O50009,2025-02-28,North Indian Thali,710,169
C0001,O50010,2025-07-07,Sandwich,1175,270
C0001,O50011,2025-07-09,Chicken Biryani,1157,174
C0001,O50012,2025-02-20,Chicken Biryani,1467,130
C0001,O50013,2025-11-03,Veg Biryani,846,20
C0001,O50014,2025-11-25,Burger,366,273
C0001,O50015,2025-03-30,Burger,515,13
C0001,O50016,2025-08-30,South Indian Thali,976,52
C0001,O50017,2025-12-06,North Indian Thali,291,263
C0001,O50018,2025-02-04,Chicken Biryani,405,80
C0001,O50019,2025-02-19,South Indian Thali,1225,53
C0001,O50020,2025-04-16,Burger,902,217
C0001,O50021,2025-02-13,South Indian Thali,361,201
C0001,O50022,2025-09-27,Sandwich,1015,270
C0001,O50023,2025-08-03,Burger,1475,189
C0001,O50024,2025-10-23,Fried Rice,919,236
C0001,O50025,2025-12-04,North Indian Thali,1078,52
C0001,O50026,2025-10-07,Pasta,416,251
C0001,O50027,2025-07-07,Chicken Biryani,579,40
C0001,O50028,2025-06-06,Pizza,214,64
C0001,O50029,2025-12-11,Sandwich,720,128
C0001,O50030,2025-05-16,Noodles,1286,138
C0001,O50031,2025-03-22,Pasta,591,162
C0001,O50032,2025-10-16,Pizza,578,260
C0001,O50033,2025-08-19,Burger,1217,40
C0001,O50034,2025-01-28,Noodles,334,200
C0001,O50035,2025-11-24,Veg Biryani,979,32
C0001,O50036,2025-02-17,Veg Biryani,702,61
C0001,O50037,2025-08-04,Sandwich,1004,98
C0001,O50038,2025-06-21,Veg Biryani,925,34
C0001,O50039,2025-08-15,Noodles,812,130
C0001,O50040,2025-09-14,Noodles,1228,217
C0001,O50041,2025-09-12,North Indian Thali,597,282
C0001,O50042,2025-07-26,Pasta,1238,41
C0001,O50043,2025-06-28,Chicken Biryani,1063,230
C0001,O50044,2025-08-29,Fried Rice,763,95
C0001,O50045,2025-08-10,South Indian Thali,684,230
C0001,O50046,2025-08-25,Veg Biryani,1394,28
C0001,O50047,2025-02-05,Sandwich,724,159
C0001,O50048,2025-11-23,Veg Biryani,1466,85
C0001,O50049,2025-10-11,South Indian Thali,777,169
C0001,O50050,2025-02-14,Pasta,1212,133
C0001,O50051,2025-10-11,North Indian Thali,1251,107
C0001,O50052,2025-02-13,Noodles,1454,189
C0001,O50053,2025-08-13,North Indian Thali,832,115
C0001,O50054,2025-08-21,Burger,1482,197
C0001,O50055,2025-05-17,Veg Biryani,517,164
C0001,O50056,2025-08-13,Chicken Biryani,1457,171
C0001,O50057,2025-06-01,Burger,1456,179
C0001,O50058,2025-04-23,Pasta,641,51
C0001,O50059,2025-09-25,Veg Biryani,1336,100
C0001,O50060,2025-04-23,Burger,1151,80
C0001,O50061,2025-07-06,Veg Biryani,312,1
C0001,O50062,2025-05-10,Sandwich,419,53
C0001,O50063,2025-12-09,Pasta,1448,125
C0001,O50064,2025-05-10,Fried Rice,1276,171
C0001,O50065,2025-08-06,Noodles,446,202
C0001,O50066,2025-07-03,Pizza,322,254
C0001,O50067,2025-10-21,Noodles,479,97
C0002,O50068,2025-08-28,Noodles,343,96
C0002,O50069,2025-07-20,Burger,1347,186
C0002,O50070,2025-11-22,Pasta,663,258
C0002,O50071,2025-05-28,Veg Biryani,963,146
C0002,O50072,2025-05-28,North Indian Thali,1063,198
C0002,O50073,2025-11-04,Pizza,688,127
C0002,O50074,2025-02-08,South Indian Thali,537,128
C0002,O50075,2025-09-24,Burger,672,150
C0002,O50076,2025-10-25,Pizza,462,251
C0002,O50077,2025-05-24,Fried Rice,545,111
C0002,O50078,2025-03-01,Sandwich,1080,1
C0002,O50079,2025-10-31,Pasta,453,139
C0002,O50080,2025-02-06,South Indian Thali,1383,8
C0002,O50081,2025-08-21,Burger,1322,146
C0002,O50082,2025-10-31,Noodles,407,130
C0002,O50083,2025-06-01,Chicken Biryani,253,119
C0002,O50084,2025-06-10,Burger,827,74
C0002,O50085,2025-04-23,Chicken Biryani,303,253
C0002,O50086,2025-08-15,Noodles,1335,98
C0002,O50087,2025-06-02,Sandwich,1113,193
C0002,O50088,2025-11-06,Pasta,1386,207
C0002,O50089,2025-06-18,Veg Biryani,360,67
C0002,O50090,2025-10-16,Burger,597,276
C0002,O50091,2025-10-31,North Indian Thali,1358,194
C0002,O50092,2025-05-08,Noodles,1256,175
C0002,O50093,2025-01-22,Burger,949,157
C0002,O50094,2025-02-07,Fried Rice,429,50
C0002,O50095,2025-09-21,Sandwich,226,225
C0002,O50096,2025-10-04,Fried Rice,997,96
C0002,O50097,2025-10-11,Pizza,1078,146
C0002,O50098,2025-01-04,Pasta,746,191
C0002,O50099,2025-02-18,Pizza,216,171
C0002,O50100,2025-08-08,Burger,357,45
C0002,O50101,2025-01-06,South Indian Thali,298,232
C0002,O50102,2025-02-06,South Indian Thali,479,180
C0003,O50103,2025-04-09,Pasta,899,115
C0003,O50104,2025-07-10,North Indian Thali,452,160
C0003,O50105,2025-09-13,Sandwich,327,17
C0003,O50106,2025-10-08,North Indian Thali,765,57
C0003,O50107,2025-11-19,Sandwich,885,279
C0003,O50108,2025-04-24,Noodles,1053,150
C0003,O50109,2025-05-07,Burger,354,272
C0003,O50110,2025-04-14,Pizza,445,175
C0003,O50111,2025-02-08,South Indian Thali,958,25
C0003,O50112,2025-12-21,Fried Rice,1120,12
C0003,O50113,2025-11-12,Veg Biryani,1102,35
C0003,O50114,2025-06-22,Chicken Biryani,219,263
C0003,O50115,2025-05-22,Veg Biryani,1171,142
C0003,O50116,2025-04-02,Pizza,1033,287
C0003,O50117,2025-08-03,Pizza,1053,50
C0003,O50118,2025-06-02,Sandwich,774,189
C0003,O50119,2025-05-05,North Indian Thali,349,57
C0003,O50120,2025-12-08,Veg Biryani,504,179
C0003,O50121,2025-06-19,Sandwich,1037,270
C0003,O50122,2025-02-23,Sandwich,1202,100
C0003,O50123,2025-09-21,North Indian Thali,1276,59
C0003,O50124,2025-04-18,Fried Rice,204,102
C0003,O50125,2025-07-15,South Indian Thali,973,46
C0003,O50126,2025-12-21,Pasta,1022,143
C0003,O50127,2025-09-26,South Indian Thali,569,123
C0003,O50128,2025-04-16,Chicken Biryani,856,119
C0003,O50129,2025-11-15,Veg Biryani,1281,228
C0003,O50130,2025-04-27,South Indian Thali,990,126
C0003,O50131,2025-05-09,Pasta,1281,121
C0003,O50132,2025-01-01,Noodles,1001,95
C0003,O50133,2025-05-06,Veg Biryani,1341,47
C0003,O50134,2025-03-30,Pasta,687,236
C0003,O50135,2025-09-29,Sandwich,1412,191
C0003,O50136,2025-03-10,Pizza,989,246
C0003,O50137,2025-03-17,Fried Rice,353,143
C0003,O50138,2025-03-27,Chicken Biryani,896,284
C0003,O50139,2025-08-08,Pasta,1292,46
C0003,O50140,2025-04-04,South Indian Thali,1157,203
C0003,O50141,2025-08-06,Pizza,673,38
C0003,O50142,2025-04-10,South Indian Thali,1477,221
C0003,O50143,2025-12-23,Veg Biryani,222,249
C0003,O50144,2025-01-10,Pasta,1323,289
